dataset,processed_input,reference,max_new_tokens,stop_sequence,extraction_method,evaluation_metric,id
mmlu,"Choose the correct answer. Respond with a single letter.
Question:
Mast Co. converted from the FIFO method for inventory valuation to the LIFO method for financial statement and tax purposes. During a period of inflation would Mast's ending inventory and income tax payable using LIFO be higher or lower than FIFO? Ending inventory Income tax payable
Options:
A. Lower Lower
B. Higher Higher
C. Lower Higher
D. Higher Lower
Answer:
",A,1,['\n'],multiple_choice,exact_match,mmlu_1
mmlu,"Choose the correct answer. Respond with a single letter.
Question:
What are the dimensions of $\hat{u}^t \hat{u}?
Options:
A. T x k
B. T x 1
C. k x 1
D. 1 x 1
Answer:
",D,1,['\n'],multiple_choice,exact_match,mmlu_2
mmlu,"Choose the correct answer. Respond with a single letter.
Question:
_______ theory can be described as a code of conduct to which all rational beings should adhere. This contrasts with ________ morality which is the code of conduct adopted by a particular group or society.
Options:
A. Descriptive, Normative
B. Normative, Instrumental
C. Normative, Descriptive
D. Ethical, Descriptive
Answer:
",C,1,['\n'],multiple_choice,exact_match,mmlu_3
mmlu,"Choose the correct answer. Respond with a single letter.
Question:
A city imposes a municipal excise tax of $200 per year on commercial artists' studios in that city. It also imposes an excise tax of $100 per year on every itinerant commercial figure drawer for the privilege of using the streets and sidewalks. A credit is allowed against this latter tax for any excise tax paid to the city by the drawer or his employer in respect to the maintenance of an artist's studio in the city. A gallery, located in a neighboring state, has been sending two itinerant artists into the city. Their practice is to draw a picture of a pedestrian, ask him to order a finished painting, and collect a payment of $2. 00. The drawing is sent to a studio, which frames it and mails the framed painting to the customer. The neighboring state does not impose a tax on artists' studios. The gallery challenges the constitutionality of the $100 per year excise tax that is imposed upon its itinerant artists in the city. The court will most likely declare this tax
Options:
A. constitutional, as a valid ad valorem tax on interstate commerce.
B. constitutional, since the tax was levied not on the commercial art business as a whole but on the local activity of drawing pictures.
C. unconstitutional, since a state or municipality may not impose a license tax on orders for goods or services to be perfonned in another state.
D. unconstitutional, as a discriminatory privilege tax.
Answer:
",B,1,['\n'],multiple_choice,exact_match,mmlu_4
mmlu,"Choose the correct answer. Respond with a single letter.
Question:
Patents, control of resources, economies of scale, and exclusive licenses are
Options:
A. all requirements for price discrimination
B. required in order for a firm to earn short-run profits
C. all sources of elastic demand
D. all barriers to entry
Answer:
",D,1,['\n'],multiple_choice,exact_match,mmlu_5
mmlu,"Choose the correct answer. Respond with a single letter.
Question:
Which component of a nation's balance of payments recognizes the purchase and sale of real and financial assets between nations?
Options:
A. The capital account
B. The official reserves account
C. The current account
D. The trade deficit account
Answer:
",A,1,['\n'],multiple_choice,exact_match,mmlu_6
mmlu,"Choose the correct answer. Respond with a single letter.
Question:
According to The Federalist Papers, federalism has which of the following effects on political factions?
Options:
A. It provides a structured environment in which factions may flourish.
B. It limits the dangers of factionalism by diluting political power.
C. It allows factions to dominate on the national level while limiting their influence on state governments.
D. It eliminates any opportunity for factions to form.
Answer:
",B,1,['\n'],multiple_choice,exact_match,mmlu_7
mmlu,"Choose the correct answer. Respond with a single letter.
Question:
Keri spent 3 hours on her homework. She spent equal amounts of time on all subjects. If Keri spent 1 over 2 hour on science, how many subjects did she study?
Options:
A. 4 subjects
B. 2 subjects
C. 6 subjects
D. 5 subjects
Answer:
",C,1,['\n'],multiple_choice,exact_match,mmlu_8
mmlu,"Choose the correct answer. Respond with a single letter.
Question:
A teachers union, a nongovernmental entity, seeks to picket the local city school board for its decision to require higher certification for instructors who wish to teach in the gifted and talented classes in elementary school. After a few days of picketing, the school board seeks a temporary injunction in the state court to restrain further picketing of the school board. The school board insists that the teachers union has violated Section 101 of the city's picketing ordinance. Section 101 reads as follows:""Section 101. No picketing shall be permitted inside of, or on any sidewalk or street immediately adjacent or contiguous to public elementary and secondary schools without express permission of the mayor. Applications for such permission shall be filed at least three days before such picketing is intended to begin and shall state the purpose, place, and time of the proposed picketing. ""The court will most likely
Options:
A. grant relief, because the teachers unionfailed to follow the procedure outlined in theordinance.
B. grant relief, because the ordinance isconstitutional.
C. deny relief, because the picketing ordinancewas unconstitutional on its face.
D. deny relief, because the ordinance does notprovide procedural due process.
Answer:
",C,1,['\n'],multiple_choice,exact_match,mmlu_9
mmlu,"Choose the correct answer. Respond with a single letter.
Question:
The surface of Planet Earth loses energy to outer space due mostly to
Options:
A. conduction.
B. convection.
C. radiation.
D. radioactivity.
Answer:
",C,1,['\n'],multiple_choice,exact_match,mmlu_10
