algorithm,alpha,decay_factor,initial_epsilon,lambda_,min_epsilon,prior_variance,regularization,sigma,mean_final_regret,std_final_regret,min,max
epsilon_greedy,,0.95,1.0,,0.01,,,,452.79332561014525,29.282703435242208,422.50225348690003,511.0251482438297
epsilon_greedy,,0.98,1.0,,0.02,,,,456.11681481822933,32.495575371949585,423.99985391034227,531.0772465050378
epsilon_greedy,,0.98,1.0,,0.005,,,,456.89171952967047,33.440788458923414,424.78147339962203,536.2082002425622
epsilon_greedy,,0.95,1.0,,0.02,,,,456.99293215381874,33.40344744524942,427.5639422264544,531.0036549198858
epsilon_greedy,,0.99,1.0,,0.01,,,,457.7448578916068,29.691153258828205,429.00071218371085,525.4166657553151
epsilon_greedy,,0.98,1.0,,0.01,,,,460.3884120733652,27.0401137214319,427.4888754693443,506.12790283857674
epsilon_greedy,,0.99,1.0,,0.005,,,,464.4161985420622,33.79213108618901,423.89861718113116,526.6827188905042
epsilon_greedy,,0.99,1.0,,0.02,,,,471.1189015168426,33.816908325634145,422.9053055571722,538.9380216056032
epsilon_greedy,,0.95,1.0,,0.005,,,,488.90179821486464,35.05968643762612,450.46891316300554,536.5570947307991
linear_epsilon_greedy,,0.99,1.0,0.25,0.01,,,,423.92404898850634,17.43737855437582,401.2313712931418,459.8570874049982
linear_epsilon_greedy,,0.99,1.0,0.25,0.03,,,,425.6337983616646,15.674485738806268,405.36080024006026,450.69437616457367
linear_epsilon_greedy,,0.99,1.0,1.0,0.02,,,,427.3541175661529,20.629274953743078,383.16782898658096,448.68649878806536
linear_epsilon_greedy,,0.995,1.0,0.25,0.02,,,,428.0768730611873,14.612343042740275,401.3235456969707,451.13583446572045
linear_epsilon_greedy,,0.995,1.0,1.0,0.03,,,,428.1770960454486,24.398022859690315,385.58047353203585,458.6811416464355
linear_epsilon_greedy,,0.995,1.0,1.0,0.01,,,,428.94758146501147,15.451060080062982,405.0674475687653,454.84842335007426
linear_epsilon_greedy,,0.995,1.0,1.0,0.02,,,,430.11056007919376,26.94350116820178,390.0837973306142,473.2715132758266
linear_epsilon_greedy,,0.995,1.0,0.25,0.03,,,,430.7571318571389,15.752225792643484,403.0982948709328,452.1616487477795
linear_epsilon_greedy,,0.99,1.0,0.1,0.02,,,,430.96074290360775,14.974306967012875,414.6880604464819,456.0463927062429
linear_epsilon_greedy,,0.99,1.0,0.1,0.01,,,,432.05719811647486,18.998289263513215,402.93502929382487,468.91657640089306
linear_epsilon_greedy,,0.995,1.0,0.5,0.03,,,,432.64449885169125,16.71458356946984,404.11364106122494,453.9627700534559
linear_epsilon_greedy,,0.995,1.0,0.5,0.02,,,,434.2678686920979,16.94773910757295,409.80669224842694,459.3616503903974
linear_epsilon_greedy,,0.99,1.0,0.5,0.01,,,,435.2701554025745,25.014793395068715,385.79243859862976,468.7065959495711
linear_epsilon_greedy,,0.995,1.0,0.5,0.01,,,,435.33245582267284,22.29047570819019,403.8767228524998,479.8800199954812
linear_epsilon_greedy,,0.98,1.0,0.1,0.02,,,,435.80268956525487,16.260603513114557,407.0892129405625,460.40689353269795
linear_epsilon_greedy,,0.99,1.0,0.5,0.02,,,,435.89586722680303,21.22824776469957,414.9707169182303,480.30804769507535
linear_epsilon_greedy,,0.98,1.0,0.5,0.03,,,,436.17088323261106,29.498211329344453,391.71596895617563,482.8030841074739
linear_epsilon_greedy,,0.98,1.0,1.0,0.01,,,,437.30878902016667,32.91322948045707,382.65793788465396,503.1084479105716
linear_epsilon_greedy,,0.995,1.0,0.1,0.02,,,,437.84915758125715,16.280703993301778,413.76755692325196,472.8317263416863
linear_epsilon_greedy,,0.98,1.0,0.1,0.01,,,,439.4531319472855,25.856706195601927,394.2799888317499,478.6921434885013
linear_epsilon_greedy,,0.995,1.0,0.1,0.01,,,,439.8314116111508,20.322684129723015,411.245904846336,465.2108681924917
linear_epsilon_greedy,,0.99,1.0,0.25,0.02,,,,439.94354019497166,21.662001956295022,407.7814979951295,468.505160052286
linear_epsilon_greedy,,0.995,1.0,0.1,0.03,,,,440.0060910284169,8.943619037202744,425.97107227070575,452.9069454329036
