algorithm,alpha,decay_factor,initial_epsilon,lambda_,min_epsilon,prior_variance,regularization,sigma,mean_final_regret,std_final_regret,min,max
epsilon_greedy,,0.95,1.0,,0.01,,,,452.79332561014525,29.282703435242208,422.50225348690003,511.0251482438297
epsilon_greedy,,0.98,1.0,,0.02,,,,456.11681481822933,32.495575371949585,423.99985391034227,531.0772465050378
epsilon_greedy,,0.98,1.0,,0.005,,,,456.89171952967047,33.440788458923414,424.78147339962203,536.2082002425622
epsilon_greedy,,0.95,1.0,,0.02,,,,456.99293215381874,33.40344744524942,427.5639422264544,531.0036549198858
epsilon_greedy,,0.99,1.0,,0.01,,,,457.7448578916068,29.691153258828205,429.00071218371085,525.4166657553151
epsilon_greedy,,0.98,1.0,,0.01,,,,460.3884120733652,27.0401137214319,427.4888754693443,506.12790283857674
epsilon_greedy,,0.99,1.0,,0.005,,,,464.4161985420622,33.79213108618901,423.89861718113116,526.6827188905042
epsilon_greedy,,0.99,1.0,,0.02,,,,471.1189015168426,33.816908325634145,422.9053055571722,538.9380216056032
epsilon_greedy,,0.95,1.0,,0.005,,,,488.90179821486464,35.05968643762612,450.46891316300554,536.5570947307991
linear_epsilon_greedy,,0.995,1.0,0.1,0.02,,,,424.8402190881813,17.641722999652014,398.36085486212465,452.81140817166886
linear_epsilon_greedy,,0.99,1.0,0.5,0.01,,,,428.56216597851517,20.285218368187273,388.4523941693337,452.09109835917934
linear_epsilon_greedy,,0.99,1.0,0.25,0.02,,,,428.6074310240159,23.32558129896948,395.58326488604496,466.3890635369437
linear_epsilon_greedy,,0.99,1.0,0.25,0.01,,,,429.10817659355087,27.834770812462246,392.5496184790047,485.15452743155026
linear_epsilon_greedy,,0.995,1.0,0.5,0.02,,,,429.51471649791563,15.672502423550124,397.70634243345313,450.3286225631035
linear_epsilon_greedy,,0.995,1.0,1.0,0.01,,,,429.5924199681667,24.890557932027527,394.0795094277282,479.61090539095034
linear_epsilon_greedy,,0.99,1.0,0.1,0.02,,,,429.9567786277007,29.385382197631323,385.9479694468339,481.5049234905229
linear_epsilon_greedy,,0.99,1.0,0.5,0.02,,,,430.02355776027923,16.23775302405217,412.8347393846136,464.1894222154421
linear_epsilon_greedy,,0.99,1.0,1.0,0.02,,,,430.7514432661881,18.31184914737507,398.21102425973754,456.85499848534283
linear_epsilon_greedy,,0.995,1.0,0.5,0.03,,,,430.9476744212513,18.32622557049468,401.95124226018675,461.54227952771254
linear_epsilon_greedy,,0.995,1.0,0.25,0.02,,,,431.13250326250375,14.438047603957402,415.56761155203884,451.92253691908456
linear_epsilon_greedy,,0.995,1.0,1.0,0.02,,,,431.7326606369376,17.00585648189965,411.67932381447105,461.96844715434014
linear_epsilon_greedy,,0.995,1.0,0.25,0.03,,,,432.8990130121603,11.006786686706533,419.10503559396267,456.0903832294458
linear_epsilon_greedy,,0.99,1.0,0.5,0.03,,,,434.0919460338231,17.957344241163742,408.43676053255626,461.86633498347993
linear_epsilon_greedy,,0.995,1.0,1.0,0.03,,,,434.3092443572121,19.98129709486723,414.9028658609854,471.08490657058616
linear_epsilon_greedy,,0.995,1.0,0.1,0.01,,,,435.0161046764591,18.543758090084417,399.7106476880055,459.78657843207213
linear_epsilon_greedy,,0.98,1.0,1.0,0.01,,,,435.75408093386386,25.174546334599132,394.59124146624055,467.08985388605777
linear_epsilon_greedy,,0.995,1.0,0.5,0.01,,,,435.850174576466,18.388387842488267,416.3058750744556,465.32095535452146
linear_epsilon_greedy,,0.98,1.0,0.1,0.02,,,,436.256795124429,18.26576120369196,402.9899375781123,464.66640515656553
linear_epsilon_greedy,,0.99,1.0,1.0,0.03,,,,436.318532852529,24.01335724428237,413.7928423456103,495.35414009170717
linear_epsilon_greedy,,0.99,1.0,0.1,0.01,,,,436.4381615309309,22.471713859876008,403.34585381583076,471.79037247285333
linear_epsilon_greedy,,0.98,1.0,0.5,0.02,,,,437.36899860973045,22.995375964457814,392.48112899578445,466.99115596385974
linear_epsilon_greedy,,0.99,1.0,0.25,0.03,,,,437.6028032896015,21.333692840796704,405.1025304780219,478.35136743934606
