pair,p_value_raw,p_value_corrected_bh,significant_bh
Accuracy vs Largest,4.68e-10,4.37e-09,True
Accuracy vs Smallest,4.68e-10,4.37e-09,True
Largest vs Smallest,4.68e-10,4.37e-09,True
Accuracy vs ε‑Greedy (NC),8.01e-09,1.25e-08,True
Accuracy vs ε‑Greedy (C),8.01e-09,1.25e-08,True
Accuracy vs LinUCB (C),8.01e-09,1.25e-08,True
Accuracy vs Random,8.01e-09,1.25e-08,True
Accuracy vs Thompson Sampling (C),8.01e-09,1.25e-08,True
ε‑Greedy (NC) vs Largest,8.01e-09,1.25e-08,True
ε‑Greedy (NC) vs Smallest,8.01e-09,1.25e-08,True
Largest vs ε‑Greedy (C),8.01e-09,1.25e-08,True
Largest vs LinUCB (C),8.01e-09,1.25e-08,True
Largest vs Random,8.01e-09,1.25e-08,True
Largest vs Thompson Sampling (C),8.01e-09,1.25e-08,True
ε‑Greedy (C) vs Smallest,8.01e-09,1.25e-08,True
LinUCB (C) vs Smallest,8.01e-09,1.25e-08,True
Random vs Smallest,8.01e-09,1.25e-08,True
Smallest vs Thompson Sampling (C),8.01e-09,1.25e-08,True
ε‑Greedy (NC) vs Random,6.8e-08,8.65e-08,True
ε‑Greedy (C) vs Random,6.8e-08,8.65e-08,True
LinUCB (C) vs Random,6.8e-08,8.65e-08,True
Random vs Thompson Sampling (C),6.8e-08,8.65e-08,True
ε‑Greedy (NC) vs LinUCB (C),3.99e-06,4.85e-06,True
ε‑Greedy (NC) vs ε‑Greedy (C),0.000161,0.00018,True
ε‑Greedy (NC) vs Thompson Sampling (C),0.000161,0.00018,True
LinUCB (C) vs Thompson Sampling (C),0.036,0.0388,True
ε‑Greedy (C) vs LinUCB (C),0.14,0.146,False
ε‑Greedy (C) vs Thompson Sampling (C),0.86,0.86,False
